Этикетка;Если во сне Вы видите этикетку, то в реальной жизни недруги получат возможность вмешаться в Вашу личную жизнь и Вы пострадаете из-за собственной небрежности.
Эхо;Если во сне Вы слышите эхо, то будьте готовы к наступлению тяжелых времен. Из-за болезни Вы можете потерять свою работу, а друзья оставят Вас в минуты испытаний. 
Этаж;Если во сне Вы выходите на балкон, расположенный на одном из последних этажей высотного дома, то в реальной жизни Вы рискнете и риск окажется оправданным. Если Вам приснилось, что Вы пешком поднимаетесь на верхний этаж, то наяву Вы сможете сделать неплохую карьеру, однако это потребует от Вас приложения большого труда. Сон, в котором Вы этаж за этажом строите дом, и никак не можете остановиться, означает, что Вы боитесь упустить что-либо в этой жизни. 
Юноша;"Для зрелого мужчины увидеть себя во сне юношей означает, что он пытается догнать уходящий поезд, однако это будет не под силу. Если ему снится ухмыляющийся юноша, то в реальной жизни он дает повод для пересудов окружающих, поскольку поведение по принципу ""седина в бороду - бес в ребро"" всегда вызывало неадекватную реакцию общества. Если девушка видит во сне, как она бежит за удаляющимся от нее юношей, то она стоит на пороге первого серьезного чувства, в связи с чем ее душа особенно чутка и ранима. "
Юбка;"Для молодой женщины сон, в котором она носит нижнюю юбку, говорит о том, что у нее весьма и весьма романтичная натура. Однако реалии жизни заставляют ее быть ""сильной женщиной"". Видеть, как мини-юбка едва прикрывает толстый зад, означает, что в глубине души Вы стремитесь к запретному плоду, который представляется таким сладким и заманчивым. Если Вам приснилось, что цыганка шелестит около Вас своими шелковыми юбками, то в реальной жизни Вам будет трудно устоять перед искушением. Если же наяву Вы поддадитесь соблазну, то горько об этом пожалеете. "
Юбка-брюки;"Для молодой женщины сон, в котором она носит юбку-брюки, означает, что она до сих пор не может четко определить свою жизненную позицию. С одной стороны, ей хочется играть роль ""сильной женщины""; с другой - в глубине души она стремиться быть слабой рядом с сильным мужчиной. Какой путь она выберет для себя, будет зависеть, прежде всего, от ее внутреннего настроя. "
Эпидемия;Если Вам приснилось, что началась какая-либо эпидемия, то в силу определенных обстоятельств с Вами может произойти умственное расстройство. Кроме того, Вам следует принять профилактические методы, чтобы уберечь себя и своих близких от инфекционных заболеваний. 
Эскалатор;Если во сне Вы поднимаетесь на эскалаторе, то в профессиональной деятельности Вам обязательно повезет, может быть, даже больше, чем Вы ожидали. Спускаться на эскалаторе - к серьезным неприятностям. Если Вам приснилось, что эскалатор не работает и Вы вынуждены подниматься пешком, то наяву Вас ожидают серьезные трудности, преодолев которые Вы все же добьетесь успеха. 
Электричество;Если Вам приснилось, что у Вас в доме отключили электричество в самый неподходящий момент, то наяву Вы пожалеете о том, что не согласились принять предложение Ваших друзей. Если во сне Вы проводите какие-либо опыты либо разрабатываете какие-либо изобретения, связанные с электричеством, то в реальной жизни Ваш риск будет оправдан. Однако, если опыт не удался, то Вам следует еще раз взвесить все за и против. 
Экскременты;Сны, в которых Вы видите экскременты, сулят прибыль. Если Вам приснились экскременты, то такой сон сулит крупные доходы, которые Вам принесут даже заведомо проигрышные операции. Кроме того, возможно получение солидного наследства. Если во сне Вы видите навоз, то после такого сна ждите приятных сюрпризов. Особенно благоприятен подобный сон для фермеров, он предсказывает им обильный урожай. 
